Target,chroma_stft_mean_1,chroma_stft_mean_10,chroma_stft_mean_11,chroma_stft_mean_12,chroma_stft_mean_2,chroma_stft_mean_3,chroma_stft_mean_4,chroma_stft_mean_5,chroma_stft_mean_6,chroma_stft_mean_7,chroma_stft_mean_8,chroma_stft_mean_9,chroma_stft_std_1,chroma_stft_std_10,chroma_stft_std_11,chroma_stft_std_12,chroma_stft_std_2,chroma_stft_std_3,chroma_stft_std_4,chroma_stft_std_5,chroma_stft_std_6,chroma_stft_std_7,chroma_stft_std_8,chroma_stft_std_9,mfcc_mean_1,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_std_1,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,rmse_mean_1,rmse_std_1
classical,0.12439842708385793,0.3215638995094698,0.1464487144223841,0.3126504535746403,0.2978253944227872,0.4111582149915313,0.20606037597354826,0.34023962325502743,0.15990907271212215,0.33706444112949946,0.1966256920305371,0.17474861782506088,0.12212794472641306,0.33271349703083714,0.11886915617448693,0.3675525731296563,0.2991631204618352,0.3505131855038537,0.20502662984379644,0.3648218420930845,0.13269928570408296,0.3608925332854369,0.2407607499439861,0.20909209185909367,-268.15596316034504,7.498352679325151,-3.961599946023886,8.261256040244064,135.68958144374002,-34.070633045962445,25.63083214160213,-12.969514115877194,17.891946990620927,-9.996484513170797,5.628052618890433,-14.14241722626588,42.32892375661479,13.307196561783467,10.33677196736907,8.954553221605126,13.754662484007895,15.204769142893625,13.002199559553066,8.452140980359093,8.637546727914629,10.714484663656314,8.117540013578067,8.694666906223391,0.0362548902630806,0.014859538525342941
classical,0.1639977431826046,0.17608716718109665,0.21704097181492066,0.4684001458861973,0.2402987386082132,0.3884553902375707,0.15338900956113138,0.14761851089240827,0.1181995668666,0.2549265969169625,0.16156973280008294,0.09078202422598176,0.18139928684882253,0.2739567216085049,0.2270253614620631,0.4274174568422269,0.2980685855520845,0.3778284680954845,0.1934800827743862,0.2532640978898671,0.18153728454541265,0.33258952098436995,0.22315950351577835,0.12138580068299533,-324.0587686954798,-0.845978302904986,-7.7981124358404115,3.522399504055812,133.6100441620773,-25.03110001182045,24.56755495849677,-11.933688188401725,17.662528056392894,-5.5306945573803965,1.7166867261668757,-10.569641163119806,31.377600993319287,9.068131759648928,9.918651521846767,10.848554736491646,18.254653323459888,13.690038584833625,12.309498455523824,11.403011392233449,11.81230724466759,11.098267801099539,9.067099859259663,8.759367648596234,0.030627835541963574,0.012692037969827652
classical,0.197350783175444,0.28668970088614193,0.17815196055790908,0.4602574362696651,0.4232890479250015,0.3618568737562681,0.2321401859419234,0.39298292270231583,0.1460533401425718,0.2327581736773477,0.14159229278710792,0.28125999912650745,0.13700218373338408,0.29621400822816984,0.12917765584967034,0.3874349803778306,0.35153439708437395,0.3267192310449652,0.2018839772805409,0.36757414458434345,0.11209255385594843,0.2897171946545809,0.14586664403388827,0.27625864444884995,-235.25581575449445,4.235648969394172,-11.820915791505694,8.909783265289088,141.12819486039626,-34.66685320119113,30.979235246400194,-16.37793447999931,23.111984304250328,-11.03144506518341,7.639465976148436,-19.00824242998964,29.301954148746816,8.81331460889406,7.771110972643381,8.204448893710287,14.050103925667825,12.32059861229875,11.658730036501069,7.176021843586558,9.036494917024859,8.918297858324081,7.7128806933532275,7.130922776793344,0.043869055807590485,0.013880303129553795
classical,0.33422145651088553,0.20071918227552246,0.16792628992878258,0.2026269416037057,0.1398950246414393,0.3484917982716825,0.25364896575546986,0.2602288092094486,0.26674773786394296,0.20028505088896026,0.3216317282246555,0.1144095201586739,0.3747523620678503,0.25930776319463245,0.1999742141462216,0.2228098580562569,0.12024474898359268,0.3877959298950948,0.29439006719101585,0.2995940603107353,0.3478434324278839,0.24069196925621114,0.3330693762351917,0.09643405648378334,-326.86483579039486,5.228941576266936,-0.6458982812789704,2.8076390891073055,127.3913095321085,-30.596095667587925,37.468801494664866,-5.2961026195489245,20.810871422368095,-1.7786440818474638,-4.604763388706003,-4.0544726734661065,56.605078008447116,8.582924658479975,11.208652124941237,13.155706937946505,17.603712884234096,21.511296735135964,11.291489146519035,11.453226775359981,10.807599074942784,8.537981267305753,10.013286305289288,9.646250509555573,0.029449770227074627,0.01888757012784481
classical,0.3192395110867665,0.3094535710282674,0.1826531140761728,0.3155851230613855,0.1414923861560114,0.2488841359387163,0.1288445840011372,0.3520405534298752,0.2320458024128637,0.12169589628290065,0.1326193162343528,0.19349561692374154,0.33966074187479683,0.3522087620998672,0.23529033995611434,0.3202989263797017,0.16306175376312426,0.3427490868741671,0.1177426660242217,0.3714813066857155,0.3234964486782956,0.18642901058582348,0.20466617579565224,0.2680073695984108,-259.90997618019503,8.267929742921405,-18.01274041893781,-1.1968328697170858,118.93928894778406,-35.611851398496306,31.97763632178145,-16.529281126019086,10.62212802126697,-15.65127709343349,7.435393944205692,-5.8122905479214015,23.66849223746472,9.841079545966268,13.556570655119648,12.696624923844704,14.85383723852958,11.946413454480975,8.00076383306637,8.721287598185699,7.653882288265728,7.515649717139404,10.428357735734576,9.820378136370474,0.04229988902807237,0.014464291743934156
classical,0.3151758449818771,0.2540878987147996,0.2584533600972494,0.17696976839288706,0.15605856778891875,0.2553878135648137,0.3889728224082908,0.1844716426715365,0.27641520356698834,0.16462789945032966,0.3624809759318825,0.429877002364795,0.35568532254624863,0.2481661240938884,0.2893791375958171,0.17927211910249566,0.15821303802946074,0.2609572937593762,0.3528155359485834,0.15855313914225708,0.32450569363900744,0.1318292489886704,0.33092069754547865,0.3473444706344402,-264.2473493704058,5.849232840214572,-9.574090493548276,2.6678661418743133,138.14890596413827,-30.09456457497457,37.81559110074701,-7.173773575272636,6.776307495353179,-11.798503881976464,4.712850020070063,-9.830425314205844,85.90285752993242,9.658636135094065,7.4369601576508675,9.262016035877187,17.901260939857497,12.136121301823358,13.350716169888205,9.764386768237136,10.399489360674878,8.61614682347132,9.036407594442402,7.952889999621644,0.04327157512307167,0.02418461441993713
classical,0.5871120019605711,0.1565667407882012,0.188627404568138,0.2977165011063218,0.2240331476155302,0.1946471022912136,0.2342145455764815,0.17387728284104373,0.2766553701691022,0.1907172797260618,0.2976122140679314,0.3160919838114824,0.3816526292590567,0.17717083843408682,0.2712321416558913,0.265336614689122,0.22148625765524216,0.227282303804432,0.2763799834396697,0.18318819594812066,0.3127949458579269,0.19823474203989405,0.2924507854501846,0.3458885033307009,-295.70288769942084,4.4008596123619,-9.373816673124976,4.062370392664653,134.5350936968259,-22.447183830182293,40.74152708698593,-5.877058657243945,9.267068274716806,-11.8649389294715,6.293622880961966,-8.860720875829276,63.22027269084185,8.763324179113905,10.26059512853417,9.101735688872916,17.55373233501956,12.65125826270518,9.284036824640495,10.864117548305506,8.349874380693727,9.247584378119784,9.25194952593914,7.558352328360297,0.033231887966394424,0.018664957955479625
classical,0.18917461975895325,0.25833527099215137,0.4688015017342168,0.17226597901781962,0.14117176360183326,0.34162604575806954,0.39522926662413255,0.20486197413211832,0.3902192918352606,0.17457578148770767,0.2758713250907858,0.30621770900069045,0.2899809353583316,0.1981276498824021,0.3836324150015011,0.16733091741996764,0.17640292572939298,0.31850420238815624,0.36500843444546,0.15281153909437564,0.3580593008207443,0.15647306635041175,0.2877815697530228,0.3242585893873254,-286.83842095739203,6.429920696392619,-4.123742177656301,1.5436681546601445,135.91944469511654,-24.437115907868186,36.64864361074958,-6.234456423590608,6.9540755247422155,-8.162779019391067,3.8393278559581834,-4.390524447804252,88.61758333097784,10.231311449657019,9.069929466322119,9.648997282741856,23.04862692466712,22.901005623726498,11.965259501960606,12.45348770014848,8.465899939224089,10.278665876969256,12.46707781663425,9.336036226656947,0.04087373614311218,0.027802227064967155
classical,0.4799309886396138,0.31362745032023925,0.34233065256710954,0.2062856938436564,0.20549931305034194,0.2256836232116721,0.1687814462078725,0.17346729053837154,0.3258956470282279,0.17479334809757127,0.24693540546456794,0.1940519980195732,0.3926436926675572,0.3013238211454677,0.3451263008443593,0.1622480770247815,0.1548137266460547,0.2918170119541184,0.2367903005674525,0.20989928645247485,0.3647640559603417,0.18774815667358136,0.2959990084551169,0.2420917939653855,-292.1283001644276,6.4896968990295605,-9.906080984933416,4.709106592782813,127.76904584428341,-29.901040674006467,37.430187629824,-9.54702436028504,5.113703380541407,-13.811694617980072,7.0261010155911245,-7.030174616259117,69.74463837323505,9.857507812930377,10.938547271546561,11.079261503659053,15.907418493880913,14.22474213565375,9.29586483542634,10.610251274389004,8.800837379072584,9.203053184888047,7.844160023970582,9.683843095011193,0.03403812646865845,0.02144929580390453
classical,0.3301711929464887,0.25439041147516417,0.28163196331103746,0.18491180039140204,0.22422524677089584,0.4263294186910462,0.4164536244245106,0.18137910242828706,0.17931118438221308,0.23200828311510466,0.3218107427272076,0.2131159032568184,0.3503146158538018,0.2679003563009917,0.3056484838483036,0.16458685207385818,0.16899820780997388,0.3716275618242388,0.3439599123497088,0.1714335577427218,0.23963782676542866,0.246727973496112,0.31577927516448745,0.2403873406033484,-356.1422005223323,8.676969765665708,-8.138158064063436,3.424293289818228,139.80578982462572,-6.278476509814789,43.17628811961091,-8.859080611423977,11.042576839830826,-8.373957264761671,4.415755272470134,-8.290997997619405,71.70255281292644,7.7121884037413935,7.693479438230216,7.933360022015842,24.3976380553793,14.910449562518739,8.717370804387533,11.014543447959133,8.014336715266849,8.385067687031164,7.466746191799798,9.173746454391416,0.023797711357474327,0.014138789847493172
